Date,Depth,Observations,Simulations,Datetime
20200922, 1.0,5.930947916666667,1.0870055130420155,09/22/2020
20200922, 6.0,3.98496875,1.088482802109245,09/22/2020
20200923, 1.0,5.863677083333333,1.0916889718635705,09/23/2020
20200923, 6.0,4.890645833333333,1.0960854902334258,09/23/2020
20200924, 1.0,6.211791666666667,1.136513494313279,09/24/2020
20200924, 6.0,3.8083125,1.0619015022104876,09/24/2020
20200925, 1.0,5.69834375,1.1716981235508865,09/25/2020
20200925, 6.0,2.27296875,1.0337809013258443,09/25/2020
20200926, 1.0,5.7725937499999995,1.1190710951813596,09/26/2020
20200926, 6.0,1.0586770833333332,1.0163990250050452,09/26/2020
20200927, 1.0,6.47853125,1.092592055585502,09/27/2020
20200927, 6.0,0.89034375,0.9944542276374184,09/27/2020
20200928, 1.0,6.306958333333333,1.1065966866653307,09/28/2020
